"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,224,"SYR","Syria",1,"Al <U+1E24>asakah","Governorate|Muhafazah","Province",NA,"Al-Haska|Al Hassake|El Haseke|Haseke|Hassakeh|Hazakieh|Hassetché|Al Jezira|Jezireh"
2,224,"SYR","Syria",2,"Aleppo","Governorate|Muhafazah","Province",NA,"Aleppo|Alep|Alepo|Haleb|<U+1E24>alab"
3,224,"SYR","Syria",3,"Ar Raqqah","Governorate|Muhafazah","Province",NA,"Al Rakka|Raqqa|Al Rashid|Rashid"
4,224,"SYR","Syria",4,"As Suwayda'","Governorate|Muhafazah","Province",NA,"Djebel Druze|Jabal Druze|Jebel Druse|Jebel ed Druz|Al Sueida|Es Sueida|Es Suweida|Soueida|Suwaidaa"
5,224,"SYR","Syria",5,"Damascus","Governorate|Muhafazah","Province",NA,NA
6,224,"SYR","Syria",6,"Dar`a","Governorate|Muhafazah","Province",NA,"Dara'a|Dária|Dera`a|Derraa|Hauran"
7,224,"SYR","Syria",7,"Dayr Az Zawr","Governorate|Muhafazah","Province",NA,"Dair-Ezzor|Dayr az Zaur|Deir Al Zour|Deir ez Zor|Der Azzor|Dier Elzour"
8,224,"SYR","Syria",8,"Hamah","Governorate|Muhafazah","Province",NA,"Hama|<U+1E24>amah"
9,224,"SYR","Syria",9,"Hims","Governorate|Muhafazah","Province",NA,"Hims|Homs"
10,224,"SYR","Syria",10,"Idlib","Governorate|Muhafazah","Province",NA,"Adlib|Edleb|Idleb"
11,224,"SYR","Syria",11,"Lattakia","Governorate|Muhafazah","Province",NA,"Latakia|Al Ladhiqiyah|El Ladhiqiya|Lattakia|Lattakieh|Lattikia|Lattaquie"
12,224,"SYR","Syria",12,"Quneitra","Governorate|Muhafazah","Province",NA,"Al Qunatirah|Al Qunaytirah|Al Quneitera|El Quneitra|El Kenitra|Kunaitra|Kuneitra|Qunaytira"
13,224,"SYR","Syria",13,"Rif Dimashq","Governorate|Muhafazah","Province",NA,"Damas Campagne|Damascus Countryside|Damascus Rural"
14,224,"SYR","Syria",14,"Tartus","Governorate|Muhafazah","Province",NA,"Tartaus|Tartous"
