"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,224,"SYR","Syria",1,"Al <U+1E24>asakah",1,"Al-Hasakah","Mantika","District",NA,NA
2,224,"SYR","Syria",1,"Al <U+1E24>asakah",2,"Al-Malikiyah","Mantika","District",NA,NA
3,224,"SYR","Syria",1,"Al <U+1E24>asakah",3,"Al Qamishli","Mantika","District",NA,NA
4,224,"SYR","Syria",1,"Al <U+1E24>asakah",4,"Ra's al-'Ayn","Mantika","District",NA,NA
5,224,"SYR","Syria",2,"Aleppo",5,"'Ayn al-'Arab","Mantika","District",NA,NA
6,224,"SYR","Syria",2,"Aleppo",6,"A'zaz","Mantika","District",NA,NA
7,224,"SYR","Syria",2,"Aleppo",7,"Afrin","Mantika","District",NA,NA
8,224,"SYR","Syria",2,"Aleppo",8,"Al Bab","Mantika","District",NA,NA
9,224,"SYR","Syria",2,"Aleppo",9,"As-Safirah","Mantika","District",NA,NA
10,224,"SYR","Syria",2,"Aleppo",10,"Jabal Sam'an","Mantika","District",NA,NA
11,224,"SYR","Syria",2,"Aleppo",11,"Jarabulus","Mantika","District",NA,NA
12,224,"SYR","Syria",2,"Aleppo",12,"Manbij","Mantika","District",NA,NA
13,224,"SYR","Syria",3,"Ar Raqqah",13,"Ar-Raqqah","Mantika","District",NA,NA
14,224,"SYR","Syria",3,"Ar Raqqah",14,"Ath-Thawrah","Mantika","District",NA,NA
15,224,"SYR","Syria",3,"Ar Raqqah",15,"Tal Abyad","Mantika","District",NA,NA
16,224,"SYR","Syria",4,"As Suwayda'",16,"As-Suwayda","Mantika","District",NA,NA
17,224,"SYR","Syria",4,"As Suwayda'",17,"Salkhad","Mantika","District",NA,NA
18,224,"SYR","Syria",4,"As Suwayda'",18,"Shahba","Mantika","District",NA,NA
19,224,"SYR","Syria",5,"Damascus",19,"Damascus","Mantika","District",NA,NA
20,224,"SYR","Syria",6,"Dar`a",20,"As-Sanamayn","Mantika","District",NA,NA
21,224,"SYR","Syria",6,"Dar`a",21,"Daraa","Mantika","District",NA,NA
22,224,"SYR","Syria",6,"Dar`a",22,"Izra'","Mantika","District",NA,NA
23,224,"SYR","Syria",7,"Dayr Az Zawr",23,"Abu Kamal","Mantika","District",NA,NA
24,224,"SYR","Syria",7,"Dayr Az Zawr",24,"Deir ez-Zor","Mantika","District",NA,NA
25,224,"SYR","Syria",7,"Dayr Az Zawr",25,"Mayadin","Mantika","District",NA,NA
26,224,"SYR","Syria",8,"Hamah",26,"As-Suqaylabiyah","Mantika","District",NA,NA
27,224,"SYR","Syria",8,"Hamah",27,"Hama","Mantika","District",NA,NA
28,224,"SYR","Syria",8,"Hamah",28,"Masyaf","Mantika","District",NA,NA
